xVals,yVals
0.1141,0.9211
0.115,0.9201
0.116,0.9211
0.1169,0.9211
0.1178,0.9211
0.1187,0.9211
0.1197,0.9211
0.1206,0.9211
0.1215,0.9211
0.1224,0.9093
0.1234,0.9093
0.1243,0.9093
0.1252,0.9093
0.1262,0.9093
0.1271,0.804
0.128,0.804
0.1289,0.804
0.1299,0.804
0.1308,0.804
0.1317,0.804
0.1327,0.804
0.1336,0.804
0.1345,0.7205
0.1354,0.6987
0.1364,0.6987
0.1373,0.6987
0.1382,0.6987
0.1391,0.6978
0.1401,0.5844
0.141,0.5844
0.1419,0.5844
0.1429,0.5844
0.1438,0.5844
0.1447,0.5844
0.1456,0.5844
0.1466,0.5844
0.1475,0.4701
0.1484,0.4701
0.1494,0.4701
0.1503,0.4701
0.1512,0.4701
0.1521,0.5735
0.1531,0.5735
0.154,0.5735
0.1549,0.5735
0.1558,0.5735
0.1568,0.5735
0.1577,0.5735
0.1586,0.5735
0.1596,0.5744
0.1605,0.6779
0.1614,0.6779
0.1623,0.6779
0.1633,0.6779
0.1642,0.6833
0.1651,0.6842
0.166,0.6842
0.167,0.6842
0.1679,0.6842
0.1688,0.6842
0.1698,0.6842
0.1707,0.6842
0.1716,0.6842
0.1725,0.6897
0.1735,0.6897
0.1744,0.6897
0.1753,0.6897
0.1763,0.6897
0.1772,0.6887
0.1781,0.6887
0.179,0.6887
0.18,0.6887
0.1809,0.6887
0.1818,0.6887
0.1827,0.6887
0.1837,0.6887
0.1846,0.6887
0.1855,0.6878
0.1865,0.6878
0.1874,0.6878
0.1883,0.6878
0.1892,0.6806
0.1902,0.6806
0.1911,0.6806
0.192,0.6806
0.1929,0.6806
0.1939,0.6806
0.1948,0.6806
0.1957,0.6806
0.1967,0.6806
0.1976,0.6724
0.1985,0.6724
0.1994,0.6724
0.2004,0.6724
0.2013,0.6724
0.2022,0.6561
0.2032,0.6561
0.2041,0.6561
0.205,0.6561
0.2059,0.6561
0.2069,0.6561
0.2078,0.6561
0.2087,0.6561
0.2096,0.6388
0.2106,0.6388
0.2115,0.6388
0.2124,0.6388
0.2134,0.6388
0.2143,0.6379
0.2152,0.637
0.2161,0.637
0.2171,0.637
0.218,0.637
0.2189,0.637
0.2199,0.637
0.2208,0.637
0.2217,0.637
0.2226,0.637
0.2236,0.6361
0.2245,0.6361
0.2254,0.6361
0.2263,0.6361
0.2273,0.6316
0.2282,0.6316
0.2291,0.6316
0.2301,0.6316
0.231,0.6316
0.2319,0.6316
