           Idx      m_a / eV    P_a->gamma
           379      0.001479    1.1659e+16
           380      0.001479    1.1659e+16
           381      0.001479    1.1659e+16
           382      0.001479    1.1659e+16
           383      0.001479    1.1659e+16
           384      0.001479    1.1659e+16
           385      0.001479    1.1659e+16
           386      0.001479    1.1659e+16
           387      0.001479    1.1659e+16
           388      0.001479    1.1659e+16
           389      0.001479    1.1659e+16
           390      0.001479    1.1659e+16
           391      0.001479    1.1659e+16
           392      0.001479    1.1659e+16
           393      0.001479    1.1659e+16
           394      0.001479    1.1659e+16
           395      0.001479    1.1659e+16
           396      0.001479    1.1659e+16
           397      0.001479    1.1659e+16
           398      0.001479    1.1659e+16
           399      0.001479    1.1659e+16
           400      0.001479    1.1659e+16
           401      0.001479    1.1659e+16
           402      0.001479    1.1659e+16
           403      0.001479    1.1659e+16
           404      0.001479    1.1659e+16
           405      0.001479    1.1659e+16
           406      0.001479    1.1659e+16
           407       0.00148    1.1659e+16
           408       0.00148    1.1659e+16
           409       0.00148    1.1659e+16
           410       0.00148    1.1659e+16
           411       0.00148    1.1659e+16
           412       0.00148    1.1659e+16
           413       0.00148    1.1659e+16
           414       0.00148    1.1659e+16
           415       0.00148    1.1659e+16
           416       0.00148    1.1659e+16
           417       0.00148    1.1659e+16
           418       0.00148    1.1659e+16
           419       0.00148    1.1659e+16
           420       0.00148    1.1659e+16
           421       0.00148    1.1659e+16
           422       0.00148    1.1659e+16
           423       0.00148    1.1659e+16
           424       0.00148    1.1659e+16
           425       0.00148    1.1659e+16
           426       0.00148    1.1659e+16
           427       0.00148    1.1659e+16
           428       0.00148    1.1659e+16
           429       0.00148    1.1659e+16
           430       0.00148    1.1659e+16
           431       0.00148    1.1659e+16
           432       0.00148    1.1659e+16
           433       0.00148    1.1659e+16
           434       0.00148    1.1659e+16
           435       0.00148    1.1659e+16
           436       0.00148    1.1659e+16
           437       0.00148    1.1659e+16
           438       0.00148    1.1659e+16
           439       0.00148    1.1659e+16
           440       0.00148    1.1659e+16
           441      0.001481    1.1659e+16
           442      0.001481    1.1659e+16
           443      0.001481    1.1659e+16
           444      0.001481    1.1659e+16
           445      0.001481    1.1659e+16
           446      0.001481    1.1659e+16
           447      0.001481    1.1659e+16
           448      0.001481    1.1659e+16
           449      0.001481    1.1659e+16
           450      0.001481    1.1659e+16
           451      0.001481    1.1659e+16
           452      0.001481    1.1659e+16
           453      0.001481    1.1659e+16
           454      0.001481    1.1659e+16
           455      0.001481    1.1659e+16
           456      0.001481    1.1659e+16
           457      0.001481    1.1659e+16
           458      0.001481    1.1659e+16
           459      0.001481    1.1659e+16
           460      0.001481    1.1659e+16
           461      0.001481    1.1659e+16
           462      0.001481    1.1659e+16
           463      0.001481    1.1659e+16
           464      0.001481    1.1659e+16
           465      0.001481    1.1659e+16
           466      0.001481    1.1659e+16
           467      0.001481    1.1659e+16
           468      0.001481    1.1659e+16
           469      0.001481    1.1659e+16
           470      0.001481    1.1659e+16
           471      0.001481    1.1659e+16
           472      0.001481    1.1659e+16
           473      0.001481    1.1659e+16
           474      0.001481    1.1659e+16
           475      0.001482    1.1659e+16
           476      0.001482    1.1659e+16
           477      0.001482    1.1659e+16
           478      0.001482    1.1659e+16
           479      0.001482    1.1659e+16
           480      0.001482    1.1659e+16
           481      0.001482    1.1659e+16
           482      0.001482    1.1659e+16
           483      0.001482    1.1659e+16
           484      0.001482    1.1659e+16
           485      0.001482    1.1659e+16
           486      0.001482    1.1659e+16
           487      0.001482    1.1659e+16
           488      0.001482    1.1659e+16
           489      0.001482    1.1659e+16
           490      0.001482    1.1659e+16
           491      0.001482    1.1659e+16
           492      0.001482    1.1659e+16
           493      0.001482    1.1659e+16
           494      0.001482    1.1659e+16
           495      0.001482    1.1659e+16
           496      0.001482    1.1659e+16
           497      0.001482    1.1659e+16
           498      0.001482    1.1659e+16
           499      0.001482    1.1659e+16
           500      0.001482    1.1659e+16
           501      0.001482    1.1659e+16
           502      0.001482    1.1659e+16
           503      0.001482    1.1659e+16
           504      0.001482    1.1659e+16
           505      0.001482    1.1659e+16
           506      0.001482    1.1659e+16
           507      0.001482    1.1659e+16
           508      0.001483    1.1659e+16
           509      0.001483    1.1659e+16
           510      0.001483    1.1659e+16
           511      0.001483    1.1659e+16
           512      0.001483    1.1659e+16
           513      0.001483    1.1659e+16
           514      0.001483    1.1659e+16
           515      0.001483    1.1659e+16
           516      0.001483    1.1659e+16
           517      0.001483    1.1659e+16
           518      0.001483    1.1659e+16
           519      0.001483    1.1659e+16
           520      0.001483    1.1659e+16
           521      0.001483    1.1659e+16
           522      0.001483    1.1659e+16
           523      0.001483    1.1659e+16
           524      0.001483    1.1659e+16
           525      0.001483    1.1659e+16
           526      0.001483    1.1659e+16
           527      0.001483    1.1659e+16
           528      0.001483    1.1659e+16
           529      0.001483    1.1659e+16
           530      0.001483    1.1659e+16
           531      0.001483    1.1659e+16
           532      0.001483    1.1659e+16
           533      0.001483    1.1659e+16
           534      0.001483    1.1659e+16
           535      0.001483    1.1659e+16
           536      0.001483    1.1659e+16
           537      0.001483    1.1659e+16
           538      0.001483    1.1659e+16
           539      0.001483    1.1659e+16
           540      0.001483    1.1659e+16
           541      0.001483    1.1659e+16
           542      0.001484    1.1659e+16
           543      0.001484    1.1659e+16
           544      0.001484    1.1659e+16
           545      0.001484    1.1659e+16
           546      0.001484    1.1659e+16
           547      0.001484    1.1659e+16
           548      0.001484    1.1659e+16
           549      0.001484    1.1659e+16
           550      0.001484    1.1659e+16
           551      0.001484    1.1659e+16
           552      0.001484    1.1659e+16
           553      0.001484    1.1659e+16
           554      0.001484    1.1659e+16
           555      0.001484    1.1659e+16
           556      0.001484    1.1659e+16
           557      0.001484    1.1659e+16
           558      0.001484    1.1659e+16
           559      0.001484    1.1659e+16
           560      0.001484    1.1659e+16
           561      0.001484    1.1659e+16
           562      0.001484    1.1659e+16
           563      0.001484    1.1659e+16
           564      0.001484    1.1659e+16
           565      0.001484    1.1659e+16
           566      0.001484    1.1659e+16
           567      0.001484    1.1659e+16
           568      0.001484    1.1659e+16
           569      0.001484    1.1659e+16
           570      0.001484    1.1659e+16
           571      0.001484    1.1659e+16
           572      0.001484    1.1659e+16
           573      0.001484    1.1659e+16
           574      0.001484    1.1659e+16
           575      0.001484    1.1659e+16
           576      0.001485    1.1659e+16
           577      0.001485    1.1659e+16
           578      0.001485    1.1659e+16
           579      0.001485    1.1659e+16
           580      0.001485    1.1659e+16
           581      0.001485    1.1659e+16
           582      0.001485    1.1659e+16
           583      0.001485    1.1659e+16
           584      0.001485    1.1659e+16
           585      0.001485    1.1659e+16
           586      0.001485    1.1659e+16
           587      0.001485    1.1659e+16
           588      0.001485    1.1659e+16
           589      0.001485    1.1659e+16
           590      0.001485    1.1659e+16
           591      0.001485    1.1659e+16
           592      0.001485    1.1659e+16
           593      0.001485    1.1659e+16
           594      0.001485    1.1659e+16
           595      0.001485    1.1659e+16
           596      0.001485    1.1659e+16
           597      0.001485    1.1659e+16
           598      0.001485    1.1659e+16
           599      0.001485    1.1659e+16
           600      0.001485    1.1659e+16
           601      0.001485    1.1659e+16
           602      0.001485    1.1659e+16
           603      0.001485    1.1659e+16
           604      0.001485    1.1659e+16
           605      0.001485    1.1659e+16
           606      0.001485    1.1659e+16
           607      0.001485    1.1659e+16
           608      0.001485    1.1659e+16
           609      0.001486    1.1659e+16
           610      0.001486    1.1659e+16
           611      0.001486    1.1659e+16
           612      0.001486    1.1659e+16
           613      0.001486    1.1659e+16
           614      0.001486    1.1659e+16
           615      0.001486    1.1659e+16
           616      0.001486    1.1659e+16
           617      0.001486    1.1659e+16
           618      0.001486    1.1659e+16
           619      0.001486    1.1659e+16
           620      0.001486    1.1659e+16
           621      0.001486    1.1659e+16
           622      0.001486    1.1659e+16
           623      0.001486    1.1659e+16
           624      0.001486    1.1659e+16
           625      0.001486    1.1659e+16
           626      0.001486    1.1659e+16
           627      0.001486    1.1659e+16
           628      0.001486    1.1659e+16
           629      0.001486    1.1659e+16
           630      0.001486    1.1659e+16
           631      0.001486    1.1659e+16
           632      0.001486    1.1659e+16
           633      0.001486    1.1659e+16
           634      0.001486    1.1659e+16
           635      0.001486    1.1659e+16
           636      0.001486    1.1659e+16
           637      0.001486    1.1659e+16
           638      0.001486    1.1659e+16
           639      0.001486    1.1659e+16
           640      0.001486    1.1659e+16
           641      0.001486    1.1659e+16
           642      0.001486    1.1659e+16
           643      0.001487    1.1659e+16
           644      0.001487    1.1659e+16
           645      0.001487    1.1659e+16
           646      0.001487    1.1659e+16
           647      0.001487    1.1659e+16
           648      0.001487    1.1659e+16
           649      0.001487    1.1659e+16
           650      0.001487    1.1659e+16
           651      0.001487    1.1659e+16
           652      0.001487    1.1659e+16
           653      0.001487    1.1659e+16
           654      0.001487    1.1659e+16
           655      0.001487    1.1659e+16
           656      0.001487    1.1659e+16
           657      0.001487    1.1659e+16
           658      0.001487    1.1659e+16
           659      0.001487    1.1659e+16
           660      0.001487    1.1659e+16
           661      0.001487    1.1659e+16
           662      0.001487    1.1659e+16
           663      0.001487    1.1659e+16
           664      0.001487    1.1659e+16
           665      0.001487    1.1659e+16
           666      0.001487    1.1659e+16
           667      0.001487    1.1659e+16
           668      0.001487    1.1659e+16
           669      0.001487    1.1659e+16
           670      0.001487    1.1659e+16
           671      0.001487    1.1659e+16
           672      0.001487    1.1659e+16
           673      0.001487    1.1659e+16
           674      0.001487    1.1659e+16
           675      0.001487    1.1659e+16
           676      0.001487    1.1659e+16
           677      0.001488    1.1659e+16
           678      0.001488    1.1659e+16
           679      0.001488    1.1659e+16
           680      0.001488    1.1659e+16
           681      0.001488    1.1659e+16
           682      0.001488    1.1659e+16
           683      0.001488    1.1659e+16
           684      0.001488    1.1659e+16
           685      0.001488    1.1659e+16
           686      0.001488    1.1659e+16
           687      0.001488    1.1659e+16
           688      0.001488    1.1659e+16
           689      0.001488    1.1659e+16
           690      0.001488    1.1659e+16
           691      0.001488    1.1659e+16
           692      0.001488    1.1659e+16
           693      0.001488    1.1659e+16
           694      0.001488    1.1659e+16
           695      0.001488    1.1659e+16
           696      0.001488    1.1659e+16
           697      0.001488    1.1659e+16
           698      0.001488    1.1659e+16
           699      0.001488    1.1659e+16
           700      0.001488    1.1659e+16
           701      0.001488    1.1659e+16
           702      0.001488    1.1659e+16
           703      0.001488    1.1659e+16
           704      0.001488    1.1659e+16
           705      0.001488    1.1659e+16
           706      0.001488    1.1659e+16
           707      0.001488    1.1659e+16
           708      0.001488    1.1659e+16
           709      0.001488    1.1659e+16
           710      0.001489    1.1659e+16
           711      0.001489    1.1659e+16
           712      0.001489    1.1659e+16
           713      0.001489    1.1659e+16
           714      0.001489    1.1659e+16
           715      0.001489    1.1659e+16
           716      0.001489    1.1659e+16
           717      0.001489    1.1659e+16
           718      0.001489    1.1659e+16
           719      0.001489    1.1659e+16
           720      0.001489    1.1659e+16
           721      0.001489    1.1659e+16
           722      0.001489    1.1659e+16
           723      0.001489    1.1659e+16
