#angle[arcmin],effectiveArea
#extracted from the ESA XMM's X-ray Telescopes PDF. See plots in org/Figs/XMM_Newton for raw
-5.073,0.8324
-5.054,0.8332
-5.035,0.834
-5.016,0.8348
-4.998,0.8356
-4.979,0.8363
-4.96,0.8371
-4.941,0.8379
-4.922,0.8387
-4.904,0.8391
-4.885,0.8399
-4.866,0.8406
-4.847,0.8414
-4.828,0.8422
-4.809,0.843
-4.791,0.8438
-4.772,0.8446
-4.753,0.8453
-4.734,0.8461
-4.715,0.8469
-4.696,0.8477
-4.678,0.8485
-4.659,0.8493
-4.64,0.85
-4.621,0.8508
-4.602,0.8516
-4.584,0.8524
-4.565,0.8532
-4.546,0.854
-4.527,0.8543
-4.508,0.8551
-4.489,0.8559
-4.471,0.8567
-4.452,0.8575
-4.433,0.8583
-4.414,0.8587
-4.395,0.8594
-4.376,0.8602
-4.358,0.861
-4.339,0.8618
-4.32,0.8626
-4.301,0.8634
-4.282,0.8641
-4.264,0.8649
-4.245,0.8657
-4.226,0.8665
-4.207,0.8669
-4.188,0.8673
-4.169,0.8681
-4.151,0.8688
-4.132,0.8696
-4.113,0.8704
-4.094,0.8712
-4.075,0.872
-4.056,0.8727
-4.038,0.8735
-4.019,0.8739
-4,0.8747
-3.981,0.8751
-3.962,0.8759
-3.944,0.8767
-3.925,0.8774
-3.906,0.8782
-3.887,0.8786
-3.868,0.8794
-3.849,0.8802
-3.831,0.8806
-3.812,0.8814
-3.793,0.8821
-3.774,0.8829
-3.755,0.8833
-3.736,0.8841
-3.718,0.8849
-3.699,0.8853
-3.68,0.8861
-3.661,0.8868
-3.642,0.8872
-3.624,0.888
-3.605,0.8888
-3.586,0.8896
-3.567,0.89
-3.548,0.8904
-3.529,0.8912
-3.511,0.8919
-3.492,0.8927
-3.473,0.8935
-3.454,0.8939
-3.435,0.8943
-3.416,0.8951
-3.398,0.8958
-3.379,0.8966
-3.36,0.8966
-3.341,0.8974
-3.322,0.8982
-3.304,0.899
-3.285,0.8998
-3.266,0.8998
-3.247,0.9005
-3.228,0.9013
-3.209,0.9021
-3.191,0.9021
-3.172,0.9029
-3.153,0.9037
-3.134,0.9045
-3.115,0.9049
-3.096,0.9052
-3.078,0.906
-3.059,0.9068
-3.04,0.9072
-3.021,0.9076
-3.002,0.9084
-2.984,0.9088
-2.965,0.9096
-2.946,0.9099
-2.927,0.9107
-2.908,0.9111
-2.889,0.9115
-2.871,0.9123
-2.852,0.9127
-2.833,0.9135
-2.814,0.9139
-2.795,0.9143
-2.776,0.915
-2.758,0.9158
-2.739,0.9162
-2.72,0.9166
-2.701,0.9174
-2.682,0.9178
-2.664,0.9182
-2.645,0.919
-2.626,0.9193
-2.607,0.9197
-2.588,0.9205
-2.569,0.9209
-2.551,0.9213
-2.532,0.9221
-2.513,0.9221
-2.494,0.9229
-2.475,0.9236
-2.456,0.9236
-2.438,0.9244
-2.419,0.9252
-2.4,0.9252
-2.381,0.926
-2.362,0.9264
-2.344,0.9268
-2.325,0.9276
-2.306,0.9276
-2.287,0.9283
-2.268,0.9287
-2.249,0.9291
-2.231,0.9299
-2.212,0.9299
-2.193,0.9307
-2.174,0.9311
-2.155,0.9315
-2.136,0.9319
-2.118,0.9323
-2.099,0.933
-2.08,0.9334
-2.061,0.9338
-2.042,0.9342
-2.024,0.9346
-2.005,0.935
-1.986,0.9354
-1.967,0.9358
-1.948,0.9362
-1.929,0.9366
-1.911,0.9374
-1.892,0.9374
-1.873,0.9381
-1.854,0.9381
-1.835,0.9389
-1.816,0.9389
-1.798,0.9397
-1.779,0.9397
-1.76,0.9405
-1.741,0.9405
-1.722,0.9413
-1.704,0.9413
-1.685,0.9421
-1.666,0.9421
-1.647,0.9428
-1.628,0.9428
-1.609,0.9436
-1.591,0.9436
-1.572,0.944
-1.553,0.9444
-1.534,0.9444
-1.515,0.9452
-1.496,0.9452
-1.478,0.946
-1.459,0.946
-1.44,0.9464
-1.421,0.9468
-1.402,0.9471
-1.384,0.9475
-1.365,0.9475
-1.346,0.9479
-1.327,0.9483
-1.308,0.9487
-1.289,0.9487
-1.271,0.9491
-1.252,0.9495
-1.233,0.9499
-1.214,0.9503
-1.195,0.9503
-1.176,0.9507
-1.158,0.9511
-1.139,0.9511
-1.12,0.9514
-1.101,0.9518
-1.082,0.9518
-1.064,0.9518
-1.045,0.9526
-1.026,0.9526
-1.007,0.9526
-0.9882,0.9534
-0.9694,0.9534
-0.9506,0.9534
-0.9318,0.9538
-0.9129,0.9542
-0.8941,0.9542
-0.8753,0.9542
-0.8565,0.955
-0.8376,0.955
-0.8188,0.955
-0.8,0.955
-0.7812,0.9554
-0.7624,0.9558
-0.7435,0.9558
-0.7247,0.9558
-0.7059,0.9558
-0.6871,0.9565
-0.6682,0.9565
-0.6494,0.9565
-0.6306,0.9565
-0.6118,0.9565
-0.5929,0.9569
-0.5741,0.9573
-0.5553,0.9573
-0.5365,0.9573
-0.5176,0.9573
-0.4988,0.9573
-0.48,0.9577
-0.4612,0.9577
-0.4424,0.9581
-0.4235,0.9581
-0.4047,0.9581
-0.3859,0.9581
-0.3671,0.9581
-0.3482,0.9581
-0.3294,0.9585
-0.3106,0.9585
-0.2918,0.9585
-0.2729,0.9585
-0.2541,0.9585
-0.2353,0.9585
-0.2165,0.9585
-0.1976,0.9585
-0.1788,0.9585
-0.16,0.9585
-0.1412,0.9585
-0.1224,0.9585
-0.1035,0.9585
-0.08471,0.9585
-0.06588,0.9589
-0.04706,0.9589
-0.02824,0.9589
-0.009412,0.9589
0.009412,0.9589
0.02824,0.9589
0.04706,0.9589
0.06588,0.9589
0.08471,0.9589
0.1035,0.9589
0.1224,0.9585
0.1412,0.9585
0.16,0.9585
0.1788,0.9585
0.1976,0.9585
0.2165,0.9585
0.2353,0.9581
0.2541,0.9581
0.2729,0.9581
0.2918,0.9581
0.3106,0.9581
0.3294,0.9577
0.3482,0.9577
0.3671,0.9577
0.3859,0.9573
0.4047,0.9573
0.4235,0.9573
0.4424,0.9573
0.4612,0.9569
0.48,0.9565
0.4988,0.9565
0.5176,0.9565
0.5365,0.9565
0.5553,0.9561
0.5741,0.9558
0.5929,0.9558
0.6118,0.9558
0.6306,0.9558
0.6494,0.955
0.6682,0.955
0.6871,0.955
0.7059,0.955
0.7247,0.9542
0.7435,0.9542
0.7624,0.9542
0.7812,0.9534
0.8,0.9534
0.8188,0.9534
0.8376,0.953
0.8565,0.9526
0.8753,0.9526
0.8941,0.9522
0.9129,0.9518
0.9318,0.9518
0.9506,0.9514
0.9694,0.9511
0.9882,0.9511
1.007,0.9507
1.026,0.9503
1.045,0.9503
1.064,0.9499
1.082,0.9495
1.101,0.9491
1.12,0.9491
1.139,0.9487
1.158,0.9483
1.176,0.9479
1.195,0.9475
1.214,0.9475
1.233,0.9471
1.252,0.9468
1.271,0.9464
1.289,0.946
1.308,0.946
1.327,0.9452
1.346,0.9452
1.365,0.9444
1.384,0.9444
1.402,0.9436
1.421,0.9436
1.44,0.9436
1.459,0.9428
1.478,0.9428
1.496,0.9421
1.515,0.9421
1.534,0.9413
1.553,0.9413
1.572,0.9405
1.591,0.9405
1.609,0.9397
1.628,0.9397
1.647,0.9389
1.666,0.9389
1.685,0.9381
1.704,0.9381
1.722,0.9374
1.741,0.937
1.76,0.9366
1.779,0.9362
1.798,0.9358
1.816,0.9354
1.835,0.935
1.854,0.9346
1.873,0.9342
1.892,0.9338
1.911,0.933
1.929,0.9327
1.948,0.9323
1.967,0.9319
1.986,0.9315
2.005,0.9311
2.024,0.9307
2.042,0.9299
2.061,0.9295
2.08,0.9291
2.099,0.9287
2.118,0.9283
2.136,0.9276
2.155,0.9276
2.174,0.9268
2.193,0.9264
2.212,0.926
2.231,0.9252
2.249,0.9252
2.268,0.9244
2.287,0.9236
2.306,0.9236
2.325,0.9229
2.344,0.9225
2.362,0.9221
2.381,0.9213
2.4,0.9213
2.419,0.9205
2.438,0.9197
2.456,0.9197
2.475,0.919
2.494,0.9182
2.513,0.9182
2.532,0.9174
2.551,0.9166
2.569,0.9166
2.588,0.9158
2.607,0.915
2.626,0.915
2.645,0.9143
2.664,0.9135
2.682,0.9131
2.701,0.9127
2.72,0.9119
2.739,0.9115
2.758,0.9111
2.776,0.9103
2.795,0.9099
2.814,0.9096
2.833,0.9088
2.852,0.9084
2.871,0.9076
2.889,0.9072
2.908,0.9064
2.927,0.906
2.946,0.9052
2.965,0.9049
2.984,0.9045
3.002,0.9037
3.021,0.9033
3.04,0.9025
3.059,0.9021
3.078,0.9013
3.096,0.9009
3.115,0.9005
3.134,0.8998
3.153,0.899
3.172,0.8986
3.191,0.8982
3.209,0.8974
3.228,0.8966
3.247,0.8958
3.266,0.8958
3.285,0.8951
3.304,0.8943
3.322,0.8935
3.341,0.8935
3.36,0.8927
3.379,0.8919
3.398,0.8912
3.416,0.8904
3.435,0.8904
3.454,0.8896
3.473,0.8888
3.492,0.888
3.511,0.8876
3.529,0.8872
3.548,0.8865
3.567,0.8857
3.586,0.8849
3.605,0.8845
3.624,0.8841
3.642,0.8833
3.661,0.8825
3.68,0.8818
3.699,0.8814
3.718,0.881
3.736,0.8802
3.755,0.8794
3.774,0.8786
3.793,0.8782
3.812,0.8774
3.831,0.8771
3.849,0.8763
